Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Chrome 66.0.3359.181,,2018-07-24 12:01:23,2018-07-24 12:01:45,21.601s,FAILED
,,,,,,
Test Cases/gmmtest/case3,Chrome 66.0.3359.181,,2018-07-24 12:01:24,2018-07-24 12:01:44,19.891s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 12:01:24,2018-07-24 12:01:28,4.283s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 12:01:28,2018-07-24 12:01:32,3.359s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 12:01:32,2018-07-24 12:01:36,4.435s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 12:01:36,2018-07-24 12:01:40,3.663s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 12:01:40,2018-07-24 12:01:41,0.754s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 12:01:41,2018-07-24 12:01:41,0.608s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 12:01:41,2018-07-24 12:01:42,0.373s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 12:01:42,2018-07-24 12:01:42,0.243s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 12:01:42,2018-07-24 12:01:44,1.771s,FAILED
